Temperature_C,Humidity_pct,Occupants,Home_Size_sqft,AC_Hours,Fan_Hours,Fridge_Hours,WashingMachine_Hours,TV_Hours,Computer_Hours,WaterHeater_Hours,Previous_Day_kWh,Solar_Available,Weekday,Month,Daily_Consumption_kWh,Energy_Waste
30.8,61.4,2,2203,1.8,6.4,17.0,2.2,3.1,2.3,1.5,29.4,0,1,9,28.78,1
36.6,61.3,1,1660,1.3,7.6,13.0,2.7,3.8,5.6,2.3,22.5,1,1,7,26.1,1
20.1,73.3,2,1276,3.0,12.4,15.4,0.4,2.3,2.2,1.0,19.9,1,0,4,19.05,0
37.4,38.8,6,1402,9.0,10.8,18.6,1.3,3.8,0.0,1.2,21.6,0,0,2,33.7,0
28.8,91.5,3,1235,5.6,12.0,12.4,3.1,2.1,4.0,1.9,19.5,0,1,3,29.28,0
25.0,66.6,4,1046,7.2,11.1,20.3,0.3,1.2,3.1,1.8,6.9,0,0,10,28.58,1
25.0,63.5,3,1054,1.9,8.8,17.1,1.8,0.0,3.6,1.5,11.7,0,1,6,19.2,0
23.6,84.8,1,1336,4.1,12.2,24.0,3.1,4.8,3.9,1.4,18.5,0,0,11,29.09,1
27.9,77.5,5,1137,1.1,8.5,15.4,2.2,4.1,2.1,0.7,9.1,0,1,9,23.22,1
33.2,72.3,2,959,1.5,9.9,14.5,2.6,2.7,4.9,1.1,7.7,1,0,6,13.75,0
31.9,52.1,3,1001,3.5,9.8,15.1,4.7,1.9,0.0,0.5,19.9,0,1,8,29.32,1
32.2,80.6,6,1581,1.5,13.5,22.5,3.6,4.9,5.1,0.5,18.6,0,0,3,37.62,1
20.5,68.7,1,2128,1.3,12.5,17.5,1.2,3.7,5.8,0.8,14.7,0,1,10,27.22,1
21.1,53.2,5,994,4.3,7.9,17.1,1.0,4.0,1.6,1.0,13.4,1,1,7,20.6,0
36.8,62.4,1,1272,1.8,7.0,12.2,3.1,4.4,4.7,0.3,13.9,0,1,12,25.23,1
33.8,69.0,1,1644,4.5,9.1,14.3,2.0,4.7,5.2,0.8,22.5,0,0,7,32.65,1
39.9,54.3,2,959,6.4,6.3,18.5,1.5,3.6,6.7,1.3,15.6,0,1,9,33.93,1
35.0,77.0,2,1859,2.7,15.5,17.2,2.1,6.1,5.1,0.1,10.1,0,1,10,28.64,1
23.9,57.0,6,1630,1.6,7.8,24.0,0.2,4.8,0.0,2.2,7.9,0,1,5,26.28,1
35.4,77.5,5,1584,5.0,6.9,15.3,0.3,2.9,5.3,3.1,28.1,0,1,7,39.31,1
32.1,69.0,4,1186,3.3,7.1,15.8,0.6,4.1,4.5,2.9,25.0,0,0,1,30.29,1
30.1,71.6,6,1937,6.0,11.3,17.9,1.1,5.7,2.7,0.3,16.2,0,0,10,29.79,0
24.9,50.7,6,1122,2.1,11.5,17.5,0.8,5.4,0.0,0.3,9.9,0,1,2,22.66,1
29.0,66.2,3,1448,1.9,5.7,12.9,1.1,1.9,2.5,1.6,22.0,0,1,7,25.98,1
28.3,73.6,3,1359,3.6,11.6,15.7,1.3,1.1,9.1,1.0,16.9,0,1,2,31.46,1
33.5,69.7,4,1763,3.9,7.6,15.2,2.9,3.8,3.0,1.3,12.6,1,0,5,27.45,1
29.6,59.7,6,400,3.2,10.7,20.7,1.2,2.7,5.4,0.6,11.7,1,1,9,22.25,1
36.9,69.8,3,586,3.2,9.3,19.1,0.3,2.1,1.4,2.3,18.9,0,0,4,24.03,0
25.1,60.0,5,1782,0.3,11.0,14.4,0.9,2.4,1.8,0.3,19.9,0,1,9,25.34,1
31.4,64.2,1,490,0.9,10.3,17.8,0.8,3.0,1.3,1.5,21.5,0,1,10,21.62,1
31.5,81.8,2,1341,2.5,3.2,17.3,2.1,2.6,4.7,1.1,24.0,1,0,11,23.28,1
24.7,88.4,5,513,3.1,11.3,19.5,0.8,3.2,4.6,0.9,10.8,0,1,11,24.21,1
23.1,89.9,6,1566,5.8,6.1,24.0,0.3,6.1,3.0,0.8,14.3,0,0,10,27.25,0
34.1,73.2,6,649,7.5,8.4,16.5,0.5,0.8,5.0,0.7,16.9,0,1,9,34.35,1
31.6,56.9,4,1813,3.3,5.9,22.1,0.8,6.6,0.0,0.1,4.0,0,1,3,24.73,1
28.2,61.1,3,589,2.0,6.0,17.3,0.1,0.8,1.9,0.2,23.7,0,0,6,18.46,0
31.0,80.6,3,1193,5.1,10.6,19.2,1.7,6.6,1.3,0.2,11.8,0,0,3,24.19,0
25.6,66.8,5,1635,2.8,14.1,17.0,2.4,3.5,3.5,0.0,12.8,0,1,6,27.93,1
30.2,86.8,3,2009,7.0,12.1,18.4,1.7,4.7,0.0,0.5,10.1,1,1,6,27.74,1
26.0,60.1,6,1283,8.4,7.7,13.3,1.2,4.3,2.5,2.0,10.7,0,1,10,34.75,1
29.9,77.7,3,1348,1.7,10.0,21.8,3.8,3.2,6.5,2.9,20.5,0,0,12,33.13,1
33.9,46.6,6,666,3.6,11.9,15.9,0.5,4.8,5.5,1.4,8.1,0,0,3,30.15,1
27.3,60.5,5,866,5.3,6.1,17.2,0.5,2.6,4.3,0.2,4.0,0,0,12,20.63,0
33.2,72.3,2,1474,0.5,7.4,22.7,1.8,5.2,3.9,0.1,30.0,0,0,9,30.38,1
23.8,70.7,4,973,4.8,10.7,21.8,2.0,3.9,3.1,2.1,24.0,0,0,5,31.24,1
27.6,67.3,1,479,1.6,6.5,17.9,2.0,4.8,2.8,1.8,21.1,1,1,8,17.55,0
22.2,49.1,5,1055,3.6,9.6,19.9,2.5,0.0,5.3,2.7,20.7,0,1,2,25.67,0
28.5,66.5,1,1391,7.9,8.6,22.3,3.8,0.0,7.4,0.9,21.8,1,1,11,28.61,1
29.4,60.7,1,749,9.6,5.1,23.2,0.0,7.5,0.0,0.4,7.0,0,1,2,25.77,1
28.0,55.6,1,1654,8.4,7.1,23.0,0.7,5.8,3.5,0.7,14.7,0,0,8,31.03,1
27.7,68.0,5,1536,0.3,10.8,24.0,3.0,2.2,2.5,0.5,28.8,0,1,7,27.17,1
35.7,53.2,6,755,11.7,10.6,17.8,3.1,0.0,0.0,2.0,15.1,0,0,3,38.71,1
36.1,55.7,3,1435,3.6,7.7,13.4,1.9,3.7,5.2,2.1,23.0,0,1,8,34.17,1
22.9,95.0,6,400,3.8,6.6,13.2,0.5,3.9,2.2,0.2,22.3,0,1,3,25.31,1
34.9,69.9,4,551,3.0,12.6,17.4,2.8,2.5,4.6,0.5,18.0,0,1,6,27.64,1
20.4,82.3,4,1534,2.6,11.2,23.3,4.5,5.8,8.4,0.6,14.6,1,1,8,27.44,1
25.3,57.6,6,1038,1.7,14.0,13.6,1.2,4.5,1.6,0.6,11.1,0,0,12,24.32,1
28.1,58.3,3,773,1.0,12.3,18.4,2.9,3.0,5.7,0.1,11.8,0,1,10,23.14,1
29.6,46.1,2,1455,5.6,6.5,23.8,1.3,6.0,4.4,0.9,30.0,0,1,5,30.6,1
23.8,46.0,5,1360,0.9,9.6,17.6,1.3,5.4,4.2,0.7,22.9,0,0,11,22.02,0
25.4,46.7,5,1512,2.6,12.0,16.3,0.9,4.3,3.4,0.5,12.8,1,1,5,23.18,1
29.4,71.3,5,1453,2.9,10.2,15.8,0.2,0.0,5.4,0.2,19.6,0,0,9,27.77,1
25.5,51.4,4,1693,4.6,10.4,15.0,2.9,3.0,5.1,1.3,17.8,1,0,5,23.59,0
25.8,52.3,2,1360,2.1,8.8,20.1,1.7,1.5,3.1,0.9,13.5,0,1,10,19.94,0
32.3,56.0,1,1719,6.3,6.7,12.3,1.4,0.0,3.0,1.8,14.6,0,0,1,29.4,1
33.7,74.6,5,2196,3.3,9.7,17.6,2.9,2.4,0.6,1.4,24.7,0,1,10,36.01,1
28.7,58.9,3,902,2.1,9.1,16.8,3.0,0.3,4.2,1.3,16.1,0,1,2,26.03,1
29.1,73.0,1,1418,6.0,4.1,17.3,3.9,2.8,2.6,0.4,18.2,0,0,6,28.61,1
28.9,49.8,1,1064,1.1,7.4,19.6,1.7,4.8,0.3,0.1,15.3,0,1,7,18.83,1
26.7,72.8,6,1795,9.8,7.4,20.3,0.7,2.1,3.5,0.4,18.5,0,0,4,35.64,1
26.4,64.1,1,1761,4.6,6.6,16.5,1.1,1.4,4.7,3.0,23.1,1,1,1,28.24,1
23.8,72.8,1,1482,1.0,8.2,24.0,6.4,2.8,3.5,2.5,4.6,1,1,9,21.04,1
32.2,48.3,1,1997,3.7,7.5,15.3,0.7,4.2,1.7,0.3,17.9,0,0,4,28.14,1
28.6,62.1,1,1513,2.6,15.0,14.8,2.0,3.3,1.9,2.3,23.1,0,0,7,27.17,1
28.3,64.1,1,400,6.6,14.2,22.6,3.3,1.6,4.8,0.6,23.1,0,1,6,24.44,0
30.0,54.4,3,1170,5.5,11.4,15.8,1.2,6.6,3.2,1.3,21.1,0,1,9,30.54,1
31.7,72.4,1,1449,2.1,10.1,20.5,1.0,0.9,0.0,3.0,16.1,0,1,2,31.52,1
36.1,65.1,1,1515,5.0,9.6,21.2,2.9,1.6,4.5,1.2,15.8,0,1,3,35.19,1
27.6,71.7,4,1342,6.7,1.4,19.2,3.5,5.2,1.9,0.6,13.6,0,1,11,28.25,1
27.0,56.0,6,2117,3.5,8.9,17.3,7.1,3.8,1.4,0.1,18.3,0,1,11,35.01,1
30.0,67.2,6,1043,3.6,12.9,19.5,3.0,2.6,3.8,0.7,16.1,0,0,10,30.35,1
24.8,44.5,4,1837,5.2,15.0,8.4,5.3,1.8,4.5,0.9,9.5,0,1,11,34.05,1
35.4,73.9,3,1475,4.7,11.2,24.0,0.2,3.3,4.5,0.1,16.4,1,1,7,26.44,1
33.6,45.3,4,1258,1.5,8.1,15.2,1.0,5.0,3.3,0.0,25.6,0,1,9,28.59,1
32.5,54.6,3,1361,1.9,13.1,14.0,2.4,7.2,2.1,0.3,16.8,0,0,9,28.67,1
28.4,65.4,4,1867,4.2,7.5,24.0,3.6,0.3,4.6,2.9,25.2,0,1,2,34.85,1
32.7,71.7,4,1643,5.9,7.2,21.7,1.7,3.1,1.1,0.7,16.6,0,0,1,29.13,0
34.3,65.8,6,532,3.3,4.9,14.5,0.2,6.6,2.5,0.3,13.5,0,0,3,26.17,1
